404 Team         , 404 ,                   ,   37.73
Ai visionary     , AIV ,                   ,   44.55
AI'm possible    , APL ,                   ,   58.94
ASE girls        , AGL ,                   ,   34.09
ASE Gladiators   , AGR ,                   ,   41.36
Baganda          , BGD ,                   ,   21.97
BRIGHT           , BRT , (1st Pbm B)         ,   66.67
Catacombe        , CTC ,                   ,   0.00
Deep Thinkers    , DTH ,                   ,   19.70
EMI              , EMI ,                   ,   16.36
Midnight Coders  , MNC ,                   ,   20.45
NeuroFlow        , NFL ,                   ,   40.61
Tachtacha        , TAC ,                   ,   65.76
The Challengers  , CH  ,                   ,   15.15
LeaveIt4God      , LVG , (1st Pbm A)        ,   64.09
